"name","sku","attribute_set","type","category_ids","price","short_description","description","qty","status","is_in_stock","visibility","custom_design","image","image_label","small_image","small_image_label","thumbnail","thumbnail_label","media_gallery","","","","","",""
"4.427-178.0","KE44271780","default","simple","17 , 30","25.55","Manifold complete","Manifold complete","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.427-179.0","KE44271790","default","simple","17 , 30","94.55","Manifold","Manifold","1000","1","1","4","rwd/electricbroom","i/hd655spartsmanual/page_28.jpg","","i/hd655spartsmanual/small_page_28.jpg","","i/hd655spartsmanual/thumb_page_28.jpg","","i/hd655spartsmanual/page_29.jpg","","","","","",""
"4.427-183.0","KE44271830","default","simple","17 , 30","99.3","Manifold","Manifold","1000","1","1","4","rwd/electricbroom","i/hd650partsmanual/page_20.jpg","","i/hd650partsmanual/small_page_20.jpg","","i/hd650partsmanual/thumb_page_20.jpg","","i/hd525spartsmanual/page_16.jpg;i/hd650operatingmanual/page_16.jpg;i/hd650partsmanual/page_21.jpg;i/hd651operatingmanua/page_16.jpg;i/hd651partsmanual/page_21.jpg;i/hd651partsmanual/page_20.jpg;i/hd655hpartsmanual/page_27.jpg;i/hd655hpartsmanual/page_26.jpg","","","","","",""
"4.427-189.0","KE44271890","default","simple","17 , 30","31.4","Manifold complete f. PISTOLE 97 II","Manifold complete f. PISTOLE 97 II","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.427-215.0","KE44272150","default","simple","17 , 30","41.95","Manifold complete only for replacement","Manifold complete only for replacement","1000","1","1","4","rwd/electricbroom","i/hd30204meapartsmanual/page_027.jpg","","i/hd30204meapartsmanual/small_page_027.jpg","","i/hd30204meapartsmanual/thumb_page_027.jpg","","i/hd30204meapartsmanual/page_028.jpg;i/hd30204meapartsmanual/page_064.jpg;i/hd30204meapartsmanual/page_063.jpg;i/hd30204meapartsmanual/page_100.jpg;i/hd30204meapartsmanual/page_099.jpg;i/hd30204meapartsmanual/page_134.jpg;i/hd30204meapartsmanual/page_132.jpg;i/hd35304seapartsmanual/page_21.jpg;i/hd35304seapartsmanual/page_20.jpg;i/hd512chd613cpartsmanual/page_23.jpg;i/hd512chd613cpartsmanual/page_22.jpg;i/hds2313cedpartsmanual/page_062.jpg;i/hds2313cedpartsmanual/page_061.jpg;i/hds4020partsmanual/page_60.jpg;i/hds4020partsmanual/page_59.jpg;i/hds4020hds4522partsmanual/page_60.jpg;i/hds4020hds4522partsmanual/page_59.jpg;i/hds4522partsmanual/page_60.jpg;i/hds4522partsmanual/page_59.jpg;i/hds50304sebpartsmanual/page_52.jpg;i/hds50304sebpartsmanual/page_51.jpg;i/hds5030ebpartsmanual/page_45.jpg;i/hds5030ebpartsmanual/page_44.jpg;i/hds5030ecpartsmanual/page_45.jpg;i/hds5030ecpartsmanual/page_44.jpg;i/hds5030partsmanual/page_52.jpg;i/hds5030partsmanual/page_51.jpg","","","","","",""
"4.427-216.0","KE44272160","default","simple","17 , 30","141","Manifold complete","Manifold complete","1000","1","1","4","rwd/electricbroom","i/hd35304seapartsmanual/page_13.jpg","","i/hd35304seapartsmanual/small_page_13.jpg","","i/hd35304seapartsmanual/thumb_page_13.jpg","","i/hd35304seapartsmanual/page_14.jpg","","","","","",""
"4.427-308.0","KE44273080","default","simple","17 , 30","70.5","Manifold","Manifold","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.427-309.0","KE44273090","default","simple","17 , 30","105","Manifold","Manifold","1000","1","1","4","rwd/electricbroom","i/hds50304sebpartsmanual/page_48.jpg","","i/hds50304sebpartsmanual/small_page_48.jpg","","i/hds50304sebpartsmanual/thumb_page_48.jpg","","i/hds50304sebpartsmanual/page_49.jpg;i/hds5030partsmanual/page_49.jpg;i/hds5030partsmanual/page_48.jpg","","","","","",""
"4.427-318.0","KE44273180","default","simple","17 , 30","192","Manifold","Manifold","1000","1","1","4","rwd/electricbroom","i/hds5030ebpartsmanual/page_41.jpg","","i/hds5030ebpartsmanual/small_page_41.jpg","","i/hds5030ebpartsmanual/thumb_page_41.jpg","","i/hds5030ebpartsmanual/page_42.jpg;i/hds5030ecpartsmanual/page_42.jpg;i/hds5030ecpartsmanual/page_41.jpg","","","","","",""
"4.427-319.0","KE44273190","default","simple","17 , 30","113","Manifold complete only for replacement","Manifold complete only for replacement","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.427-334.0","KE44273340","default","simple","17 , 30","133","Manifold","Manifold","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.427-335.0","KE44273350","default","simple","17 , 30","76.1","Manifold","Manifold","1000","1","1","4","rwd/electricbroom","i/hds4020partsmanual/page_56.jpg","","i/hds4020partsmanual/small_page_56.jpg","","i/hds4020partsmanual/thumb_page_56.jpg","","i/hds4020partsmanual/page_57.jpg;i/hds4020hds4522partsmanual/page_57.jpg;i/hds4020hds4522partsmanual/page_56.jpg;i/hds4522partsmanual/page_57.jpg;i/hds4522partsmanual/page_56.jpg","","","","","",""
"4.427-336.0","KE44273360","default","simple","17 , 30","109","Manifold","Manifold","1000","1","1","4","rwd/electricbroom","i/hds2313cedpartsmanual/page_056.jpg","","i/hds2313cedpartsmanual/small_page_056.jpg","","i/hds2313cedpartsmanual/thumb_page_056.jpg","","","","","","","",""
"4.427-341.0","KE44273410","default","simple","17 , 30","211","Manifold","Manifold","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.427-345.0","KE44273450","default","simple","17 , 30","181","Manifold","Manifold","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.427-346.0","KE44273460","default","simple","17 , 30","123","Manifold","Manifold","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.427-348.0","KE44273480","default","simple","17 , 30","132","Manifold complete","Manifold complete","1000","1","1","4","rwd/electricbroom","i/hds5030ebpartsmanual/page_37.jpg","","i/hds5030ebpartsmanual/small_page_37.jpg","","i/hds5030ebpartsmanual/thumb_page_37.jpg","","i/hds5030ebpartsmanual/page_38.jpg;i/hds5030ecpartsmanual/page_38.jpg;i/hds5030ecpartsmanual/page_37.jpg","","","","","",""
"4.427-351.0","KE44273510","default","simple","17 , 30","0.23","Manifold complete","Manifold complete","1000","1","1","4","rwd/electricbroom","i/venturionpartsmanual/page_7.jpg","","i/venturionpartsmanual/small_page_7.jpg","","i/venturionpartsmanual/thumb_page_7.jpg","","i/venturionpartsmanual/page_8.jpg","","","","","",""
"4.427-363.0","KE44273630","default","simple","17 , 30","133","Manifold complete only for replacement L","Manifold complete only for replacement L","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.440-038.0","KE44400380","default","simple","17 , 30","116","Hose","Hose","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.440-207.0","KE44402070","default","simple","17 , 30","332","7.5M SUPPLY HOSE","7.5M SUPPLY HOSE","1000","1","1","4","rwd/electricbroom","i/hd855operatingmanual/page_8.jpg","","i/hd855operatingmanual/small_page_8.jpg","","i/hd855operatingmanual/thumb_page_8.jpg","","i/hds800boperatingmanual/page_05.jpg","","","","","",""
"4.440-267.0","KE44402670","default","simple","17 , 30","27.6","Hose","Hose","1000","1","1","4","rwd/electricbroom","i/hds890partsmanual/page_24.jpg","","i/hds890partsmanual/small_page_24.jpg","","i/hds890partsmanual/thumb_page_24.jpg","","i/hds890partsmanual/page_25.jpg","","","","","",""
"4.440-270.0","KE44402700","default","simple","17 , 30","187","Hose 7,5m","Hose 7,5m","1000","1","1","4","rwd/electricbroom","i/hd30204meaoperatingmanual/page_08.jpg","","i/hd30204meaoperatingmanual/small_page_08.jpg","","i/hd30204meaoperatingmanual/thumb_page_08.jpg","","","","","","","",""
"4.440-271.0","KE44402710","default","simple","17 , 30","23.35","Hose","Hose","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.440-290.0","KE44402900","default","simple","17 , 30","27.6","Hose","Hose","1000","1","1","4","rwd/electricbroom","i/hds1590partsmanual/page_19.jpg","","i/hds1590partsmanual/small_page_19.jpg","","i/hds1590partsmanual/thumb_page_19.jpg","","","","","","","",""
"4.440-607.0","KE44406070","default","simple","17 , 30","85.4","High pressure hose 9m/16MPa, Kaer., 60G","High pressure hose 9m/16MPa, Kaer., 60G","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.440-745.0","KE44407450","default","simple","17 , 30","83.5","High pressure hose 9/13MPa","High pressure hose 9/13MPa","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.440-754.0","KE44407540","default","simple","17 , 30","2597","Hose drinking water","Hose drinking water","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.440-767.0","KE44407670","default","simple","17 , 30","31.65","High pressure hose 7,5/16MPa,Kaer.,60G,M","High pressure hose 7,5/16MPa,Kaer.,60G,M","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.440-788.0","KE44407880","default","simple","17 , 30","160","High pressure hose strip yellow 16/12 60","High pressure hose strip yellow 16/12 60","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.440-790.0","KE44407900","default","simple","17 , 30","111","Hose SDS","Hose SDS","1000","1","1","4","rwd/electricbroom","i/hds2313cedpartsmanual/page_014.jpg","","i/hds2313cedpartsmanual/small_page_014.jpg","","i/hds2313cedpartsmanual/thumb_page_014.jpg","","i/hds2313cedpartsmanual/page_017.jpg;i/hds4020partsmanual/page_17.jpg;i/hds4020partsmanual/page_15.jpg;i/hds4020hds4522partsmanual/page_17.jpg;i/hds4020hds4522partsmanual/page_15.jpg;i/hds4522partsmanual/page_17.jpg;i/hds4522partsmanual/page_15.jpg;i/hds50304sebpartsmanual/page_16.jpg;i/hds50304sebpartsmanual/page_15.jpg;i/hds5030partsmanual/page_16.jpg;i/hds5030partsmanual/page_15.jpg","","","","","",""
"4.440-796.0","KE44407960","default","simple","17 , 30","76.05","Hose SDS","Hose SDS","1000","1","1","4","rwd/electricbroom","i/hds5030ebpartsmanual/page_15.jpg","","i/hds5030ebpartsmanual/small_page_15.jpg","","i/hds5030ebpartsmanual/thumb_page_15.jpg","","i/hds5030ebpartsmanual/page_16.jpg;i/hds5030ecpartsmanual/page_16.jpg;i/hds5030ecpartsmanual/page_15.jpg","","","","","",""
"4.440-870.0","KE44408700","default","simple","17 , 30","110","High pressure hose 16MPa/9m 60Â°C","High pressure hose 16MPa/9m 60Â°C","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.440-901.0","KE44409010","default","simple","17 , 30","128","High pressure hose 9/16MPa,Neutr.,60G","High pressure hose 9/16MPa,Neutr.,60G","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.440-938.0","KE44409380","default","simple","17 , 30","62.05","FRV 30 suction hose DN 32","FRV 30 suction hose DN 32","1000","1","1","4","rwd/electricbroom","i/venturionpartsmanual/page_7.jpg","","i/venturionpartsmanual/small_page_7.jpg","","i/venturionpartsmanual/thumb_page_7.jpg","","i/venturionpartsmanual/page_8.jpg","","","","","",""
"4.440-939.0","KE44409390","default","simple","17 , 30","71.4","FR extension hose DN 32","FR extension hose DN 32","1000","1","1","4","rwd/electricbroom","i/frv30usermanual/page_006.jpg","","i/frv30usermanual/small_page_006.jpg","","i/frv30usermanual/thumb_page_006.jpg","","i/frv30usermanual/page_010.jpg;i/frv30usermanual/page_014.jpg;i/frv30usermanual/page_018.jpg;i/frv30usermanual/page_022.jpg;i/frv30usermanual/page_026.jpg;i/frv30usermanual/page_030.jpg;i/frv30usermanual/page_034.jpg;i/frv30usermanual/page_038.jpg;i/frv30usermanual/page_042.jpg;i/frv30usermanual/page_046.jpg;i/frv30usermanual/page_050.jpg;i/frv30usermanual/page_054.jpg;i/frv30usermanual/page_058.jpg;i/frv30usermanual/page_062.jpg;i/frv30usermanual/page_066.jpg;i/frv30usermanual/page_070.jpg;i/frv30usermanual/page_074.jpg;i/frv30usermanual/page_078.jpg;i/frv30usermanual/page_082.jpg;i/frv30usermanual/page_086.jpg;i/frv30usermanual/page_090.jpg;i/frv30usermanual/page_094.jpg;i/frv30usermanual/page_098.jpg;i/frv30usermanual/page_102.jpg;i/frv30usermanual/page_106.jpg;i/frv30usermanual/page_110.jpg","","","","","",""
"4.441-040.0","KE44410400","default","simple","17 , 30","151","Suction hose FRV 30 me","Suction hose FRV 30 me","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.446-019.0","KE44460190","default","simple","17 , 30","11.2","Hose coupling complete for replacement","Hose coupling complete for replacement","1000","1","1","4","rwd/electricbroom","i/brbd100250r3640/page_129.jpg","","i/brbd100250r3640/small_page_129.jpg","","i/brbd100250r3640/thumb_page_129.jpg","","i/brbd100250r3640/page_130.jpg;i/puzzi100usa2460/page_16.jpg;i/puzzi100usa2460/page_15.jpg;i/puzzi200usa2480/page_16.jpg;i/puzzi200usa2480/page_15.jpg;i/puzzi81c20302110/page_13.jpg;i/puzzi81c20302110/page_12.jpg","","","","","",""
"4.470-041.0","KE44700410","default","simple","17 , 30","14.95","High pressure quick-fitting pipe union A","High pressure quick-fitting pipe union A","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.481-050.0","KE44810500","default","simple","17 , 30","8.6","Lever","Lever","1000","1","1","4","rwd/electricbroom","i/hd512chd613cpartsmanual/page_25.jpg","","i/hd512chd613cpartsmanual/small_page_25.jpg","","i/hd512chd613cpartsmanual/thumb_page_25.jpg","","i/hd512chd613cpartsmanual/page_26.jpg;i/hd650operatingmanual/page_16.jpg;i/hd650partsmanual/page_21.jpg;i/hd650partsmanual/page_20.jpg;i/hd651operatingmanua/page_16.jpg;i/hd651partsmanual/page_21.jpg;i/hd651partsmanual/page_20.jpg;i/hd655hpartsmanual/page_27.jpg;i/hd655hpartsmanual/page_26.jpg;i/hd655partsmanual/page_40.jpg;i/hd655partsmanual/page_39.jpg;i/hd655partsmanual/page_43.jpg;i/hd655partsmanual/page_42.jpg;i/hd655partsmanual/page_46.jpg;i/hd655partsmanual/page_45.jpg;i/hd655partsmanual/page_49.jpg;i/hd655partsmanual/page_48.jpg;i/hd655spartsmanual/page_29.jpg;i/hd655spartsmanual/page_28.jpg;i/hd655spartsmanual/page_31.jpg;i/hd655spartsmanual/page_30.jpg;i/hd830bpartsmanual/page_29.jpg;i/hd830bpartsmanual/page_28.jpg;i/hd855euroaustpartslist/page_22.jpg;i/hd890spartsmanual/page_31.jpg;i/hd890spartsmanual/page_30.jpg;i/hds1812uedpartsmanual/page_35.jpg;i/hds1812uedpartsmanual/page_34.jpg;i/hds800e12kwpartsmanual/page_33.jpg;i/hds800e12kwpartsmanual/page_32.jpg;i/hds800e12kwpartsmanual/page_35.jpg;i/hds800e12kwpartsmanual/page_34.jpg;i/hds800epartsmanual/page_33.jpg;i/hds800epartsmanual/page_32.jpg;i/hds800epartsmanual/page_35.jpg;i/hds800epartsmanual/page_34.jpg","","","","","",""
"4.481-105.0","KE44811050","default","simple","17 , 30","25.4","Lever complete","Lever complete","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.481-157.0","KE44811570","default","simple","17 , 30","7.8","Lever complete","Lever complete","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.481-169.0","KE44811690","default","simple","17 , 30","10.45","Crank complete","Crank complete","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.481-207.0","KE44812070","default","simple","17 , 30","98.5","Joint","Joint","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.481-209.0","KE44812090","default","simple","17 , 30","10.55","Lever complete","Lever complete","1000","1","1","4","rwd/electricbroom","i/hd30204meapartsmanual/page_027.jpg","","i/hd30204meapartsmanual/small_page_027.jpg","","i/hd30204meapartsmanual/thumb_page_027.jpg","","i/hd30204meapartsmanual/page_028.jpg;i/hd30204meapartsmanual/page_064.jpg;i/hd30204meapartsmanual/page_063.jpg;i/hd30204meapartsmanual/page_100.jpg;i/hd30204meapartsmanual/page_099.jpg;i/hd30204meapartsmanual/page_134.jpg;i/hd30204meapartsmanual/page_132.jpg;i/hd35304seapartsmanual/page_21.jpg;i/hd35304seapartsmanual/page_20.jpg;i/hd512chd613cpartsmanual/page_23.jpg;i/hd512chd613cpartsmanual/page_22.jpg;i/hd512chd613cpartsmanual/page_29.jpg;i/hd512chd613cpartsmanual/page_28.jpg;i/hds1812uedpartsmanual/page_38.jpg;i/hds1812uedpartsmanual/page_37.jpg;i/hds2313cedpartsmanual/page_062.jpg;i/hds2313cedpartsmanual/page_061.jpg;i/hds4020partsmanual/page_60.jpg;i/hds4020partsmanual/page_59.jpg;i/hds4020hds4522partsmanual/page_60.jpg;i/hds4020hds4522partsmanual/page_59.jpg;i/hds4522partsmanual/page_60.jpg;i/hds4522partsmanual/page_59.jpg;i/hds50304sebpartsmanual/page_52.jpg;i/hds50304sebpartsmanual/page_51.jpg;i/hds5030ebpartsmanual/page_45.jpg;i/hds5030ebpartsmanual/page_44.jpg;i/hds5030ecpartsmanual/page_45.jpg;i/hds5030ecpartsmanual/page_44.jpg;i/hds5030partsmanual/page_52.jpg;i/hds5030partsmanual/page_51.jpg","","","","","",""
"4.481-226.0","KE44812260","default","simple","17 , 30","11.95","Valve seat complete","Valve seat complete","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.481-237.0","KE44812370","default","simple","17 , 30","18.2","Valve seat complete only for replacement","Valve seat complete only for replacement","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.483-001.0","KE44830010","default","simple","17 , 30","18.4","Valve screw","Valve screw","1000","1","1","4","rwd/electricbroom","i/hd30204meapartsmanual/page_016.jpg","","i/hd30204meapartsmanual/small_page_016.jpg","","i/hd30204meapartsmanual/thumb_page_016.jpg","","i/hd30204meapartsmanual/page_012.jpg;i/hd30204meapartsmanual/page_017.jpg;i/hd30204meapartsmanual/page_050.jpg;i/hd30204meapartsmanual/page_049.jpg;i/hd30204meapartsmanual/page_052.jpg;i/hd30204meapartsmanual/page_086.jpg;i/hd30204meapartsmanual/page_085.jpg;i/hd30204meapartsmanual/page_088.jpg;i/hd30204meapartsmanual/page_122.jpg;i/hd30204meapartsmanual/page_121.jpg;i/hd30204meapartsmanual/page_125.jpg;i/hd30204meapartsmanual/page_124.jpg","","","","","",""
"4.490-008.0","KE44900080","default","simple","17 , 30","187","Vacuum motor complete only for replaceme","Vacuum motor complete only for replaceme","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.515-000.0","KE45150000","default","simple","17 , 30","287","Wheel complete explosion protected HD 10","Wheel complete explosion protected HD 10","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.515-024.0","KE45150240","default","simple","17 , 30","11.05","Wheel complete only for replacement","Wheel complete only for replacement","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.515-033.0","KE45150330","default","simple","17 , 30","37.2","Wheel complete","Wheel complete","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.515-066.0","KE45150660","default","simple","17 , 30","6.9","Castors complete only for replacement","Castors complete only for replacement","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.515-092.0","KE45150920","default","simple","17 , 30","27.95","Wheel complete","Wheel complete","1000","1","1","4","rwd/electricbroom","i/hds4020partsmanual/page_10.jpg","","i/hds4020partsmanual/small_page_10.jpg","","i/hds4020partsmanual/thumb_page_10.jpg","","i/hds4020partsmanual/page_11.jpg;i/hds4020hds4522partsmanual/page_11.jpg;i/hds4020hds4522partsmanual/page_10.jpg;i/hds4522partsmanual/page_11.jpg;i/hds4522partsmanual/page_10.jpg;i/hds50304sebpartsmanual/page_09.jpg;i/hds50304sebpartsmanual/page_08.jpg;i/hds5030partsmanual/page_09.jpg;i/hds5030partsmanual/page_08.jpg;i/hds745partsmanual/page_06.jpg;i/hds745partsmanual/page_05.jpg","","","","","",""
"4.515-100.0","KE45151000","default","simple","17 , 30","55.25","Wheel complete sw/sw","Wheel complete sw/sw","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.515-103.0","KE45151030","default","simple","17 , 30","10.6","Spare parts set wheel cap","Spare parts set wheel cap","1000","1","1","4","rwd/electricbroom","i/hd512chd613cpartsmanual/page_07.jpg","","i/hd512chd613cpartsmanual/small_page_07.jpg","","i/hd512chd613cpartsmanual/thumb_page_07.jpg","","i/hd512chd613cpartsmanual/page_08.jpg","","","","","",""
"4.515-254.0","KE45152540","default","simple","17 , 30","30","Wheel complete","Wheel complete","1000","1","1","4","rwd/electricbroom","i/hds2313cedpartsmanual/page_011.jpg","","i/hds2313cedpartsmanual/small_page_011.jpg","","i/hds2313cedpartsmanual/thumb_page_011.jpg","","i/hds2313cedpartsmanual/page_012.jpg","","","","","",""
"4.515-255.0","KE45152550","default","simple","17 , 30","63.45","Wheel","Wheel","1000","1","1","4","rwd/electricbroom","i/hd30204meapartsmanual/page_007.jpg","","i/hd30204meapartsmanual/small_page_007.jpg","","i/hd30204meapartsmanual/thumb_page_007.jpg","","i/hd30204meapartsmanual/page_008.jpg;i/hd30204meapartsmanual/page_044.jpg;i/hd30204meapartsmanual/page_043.jpg;i/hd30204meapartsmanual/page_080.jpg;i/hd30204meapartsmanual/page_079.jpg;i/hd30204meapartsmanual/page_116.jpg;i/hd30204meapartsmanual/page_115.jpg;i/hds1812uedpartsmanual/page_08.jpg;i/hds1812uedpartsmanual/page_07.jpg","","","","","",""
"4.515-263.0","KE45152630","default","simple","17 , 30","49.95","Wheel complete","Wheel complete","1000","1","1","4","rwd/electricbroom","i/hds5030ebpartsmanual/page_11.jpg","","i/hds5030ebpartsmanual/small_page_11.jpg","","i/hds5030ebpartsmanual/thumb_page_11.jpg","","i/hds5030ebpartsmanual/page_12.jpg;i/hds5030ecpartsmanual/page_12.jpg;i/hds5030ecpartsmanual/page_11.jpg","","","","","",""
"4.515-273.0","KE45152730","default","simple","17 , 30","18.5","Spare parts set wheel cap","Spare parts set wheel cap","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.515-282.0","KE45152820","default","simple","17 , 30","26.85","Wheel set replacement 160 Hummer","Wheel set replacement 160 Hummer","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.515-289.0","KE45152890","default","simple","17 , 30","14.3","Screen for replacement 160 Hummer","Screen for replacement 160 Hummer","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.515-292.0","KE45152920","default","simple","17 , 30","16.35","Screen for replacement 200 Hummer SF","Screen for replacement 200 Hummer SF","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.515-320.0","KE45153200","default","simple","17 , 30","78.85","Wheel complete","Wheel complete","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.515-323.0","KE45153230","default","simple","17 , 30","24.35","Spare parts set wheel cap basalt grey RA","Spare parts set wheel cap basalt grey RA","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.515-325.0","KE45153250","default","simple","17 , 30","30.8","Wheel set replacement 200 HUMMER","Wheel set replacement 200 HUMMER","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.515-343.0","KE45153430","default","simple","17 , 30","46.35","Wheel complete","Wheel complete","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.515-344.0","KE45153440","default","simple","17 , 30","27.95","Wheel complete","Wheel complete","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.515-347.0","KE45153470","default","simple","17 , 30","21.4","Set wheel caps only for replacement","Set wheel caps only for replacement","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.515-349.0","KE45153490","default","simple","17 , 30","68.3","Set hose reel only for replacement","Set hose reel only for replacement","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.520-148.0","KE45201480","default","simple","17 , 30","29.05","Chassis only for replacement K2.89 M / K","Chassis only for replacement K2.89 M / K","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.520-204.0","KE45202040","default","simple","17 , 30","68.55","Chassis complete replacement K2 MR Top","Chassis complete replacement K2 MR Top","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.530-049.0","KE45300490","default","simple","17 , 30","1563","Motor pump 3.5gpm/3000ps/220V/1Ph","Motor pump 3.5gpm/3000ps/220V/1Ph","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.530-051.0","KE45300510","default","simple","17 , 30","1564","Motor pump 4.5gpm/2250ps/220V/1Ph","Motor pump 4.5gpm/2250ps/220V/1Ph","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.530-113.0","KE45301130","default","simple","17 , 30","1551","Motor pump 5.0gpm/3000ps/220V/3Ph","Motor pump 5.0gpm/3000ps/220V/3Ph","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.530-114.0","KE45301140","default","simple","17 , 30","1545","Motor pump 5.0gpm/3000ps/460V/3Ph","Motor pump 5.0gpm/3000ps/460V/3Ph","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.532-073.0","KE45320730","default","simple","17 , 30","2272","Pump set","Pump set","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.532-074.0","KE45320740","default","simple","17 , 30","2427","Pump set","Pump set","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.532-980.0","KE45329800","default","simple","17 , 30","526","Pump set","Pump set","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.532-981.0","KE45329810","default","simple","17 , 30","744","Pump set","Pump set","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.550-086.0","KE45500860","default","simple","17 , 30","343","Cylinder head","Cylinder head","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.550-098.0","KE45500980","default","simple","17 , 30","381","Cylinder head complete","Cylinder head complete","1000","1","1","4","rwd/electricbroom","i/hd850wspartsmanual/page_08.jpg","","i/hd850wspartsmanual/small_page_08.jpg","","i/hd850wspartsmanual/thumb_page_08.jpg","","i/hd1050bhonda/page_09.jpg;i/hd750partslist/page_09.jpg;i/hd850bpartsmanual/page_10.jpg;i/hd850wspartsmanual/page_09.jpg;i/hd950bpartsmanual/page_09.jpg;i/hds800e12kwpartsmanual/page_09.jpg;i/hds800e12kwpartsmanual/page_08.jpg;i/hds800epartsmanual/page_09.jpg;i/hds800epartsmanual/page_08.jpg","","","","","",""
"4.550-107.0","KE45501070","default","simple","17 , 30","375","Cylinder head","Cylinder head","1000","1","1","4","rwd/electricbroom","i/hd655partsmanual/page_15.jpg","","i/hd655partsmanual/small_page_15.jpg","","i/hd655partsmanual/thumb_page_15.jpg","","i/hd2210partsmanual/page_09.jpg;i/hd575bpartsmanual/page_01.jpg;i/hd575spartsmanual1992/page_09.jpg;i/hd655partsmanual/page_16.jpg;i/hd655partsmanual/page_19.jpg;i/hd655partsmanual/page_18.jpg;i/hd655partsmanual/page_22.jpg;i/hd655partsmanual/page_21.jpg;i/hd655partsmanual/page_25.jpg;i/hd655partsmanual/page_24.jpg;i/hds500coperatingmanual/page_14.jpg;i/hds500coperatingmanual/page_15.jpg;i/hds500coperatingmanual/page_16.jpg","","","","","",""
"4.550-114.0","KE45501140","default","simple","17 , 30","524","Cylinder head complete","Cylinder head complete","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"4.550-125.0","KE45501250","default","simple","17 , 30","426","Cylinder head complete","Cylinder head complete","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
